,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
188,0.4,0.5,6,10,gbr,0.2293676355456699,0.0,0.0,0.0,0.3248531746031746,0.7234761904761905,4.45,0.49930555555555556,0.9291666666666667,7.17,0.2105238095238095,0.4576904761904762,2.19
189,0.4,0.5,6,100,gbr,0.28548326408401303,0.0,0.0,0.0,0.3367329531391459,0.6157105841829855,32.82,0.50226130438998,0.907415589205059,62.92,0.11193722943722943,0.10585655375915666,4.07
190,0.4,0.5,6,500,gbr,0.29472365747482554,0.0,0.0,0.0,0.3235976757504677,0.6104163063276619,154.9,0.496809584349591,0.9036224607487046,306.82,0.07668098465002489,0.03738588359236506,7.08
191,0.4,0.5,6,1000,gbr,0.2967544982471858,0.0,0.0,0.0,0.3235846654037451,0.6093246994501442,309.26,0.5039410796824548,0.9144320354334373,629.61,0.07762692351508141,0.018256327959050044,6.75
192,0.5,0.1,1,10,gbr,0.7869902997642513,0.0,0.0,0.0,0.04830952380952381,0.9442857142857143,4.99,0.10065873015873014,0.9721428571428571,5.46,0.018845238095238092,0.9390119047619048,4.78
193,0.5,0.1,1,100,gbr,0.8448361719655952,0.0,0.0,0.0,0.04430615285597009,0.9797242327959806,52.36,0.10077367339858848,0.9874098203577829,56.09,0.001097208877879,0.6931142918439884,35.26
194,0.5,0.1,1,500,gbr,0.8530839791263233,0.0,0.0,0.0,0.04952240971527992,0.9665597195577155,255.84,0.09879824982209862,0.9835330187080572,274.69,0.0021705680462947878,0.13862577318199137,34.85
195,0.5,0.1,1,1000,gbr,0.851620031930374,0.0,0.0,0.0,0.0504911946505295,0.9743584897939189,513.2,0.10185251758409189,0.9877843720337118,550.09,0.0020968239284613,0.07045471389556218,35.23
196,0.5,0.1,2,10,gbr,0.4110327411921431,0.0,0.0,0.0,0.008857142857142855,0.5797460317460318,5.03,0.09871825396825397,0.9889761904761905,9.31,0.021646825396825397,0.6243650793650793,5.4
197,0.5,0.1,2,100,gbr,0.4435262940113116,0.0,0.0,0.0,0.014605825268283901,0.48446130027668116,41.54,0.10244844887587057,0.9882842419475777,92.66,0.00374545644057839,0.09620750151991218,8.2
198,0.5,0.1,2,500,gbr,0.475006775753523,0.0,0.0,0.0,0.015132922650356602,0.5695711622715667,245.02,0.10027488287900456,0.9902800398127768,465.69,0.007650895157474103,0.027545941332994924,11.77
199,0.5,0.1,2,1000,gbr,0.4697112019840812,0.0,0.0,0.0,0.015650048679371992,0.554806109120263,477.77,0.09789100533995615,0.9892123207220012,928.08,0.007495966181665977,0.014497011883408678,12.37
